# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.12.2

genesis.active, boolean, 01
genesis.center, location, 8605776F726C6480FF0000000181046E616D652080056C6F6262790178093FF052AE9AC4D2D0017909405052EFEB9092CC017A093FC34A4D2DCFBA090570697463680842B36666037961770842C9E75C
genesis.e, location, 8605776F726C6480FF0000000181046E616D652080056C6F626279017809406BA0A55D3589A6017909405052EFEB9092CC017A093FC34A4D2DCFBA090570697463680842B36666037961770842C9E75C
genesis.n, location, 8605776F726C6480FF0000000181046E616D652080056C6F6262790178093FF052AE9AC4D2D0017909405052EFEB9092CC017A09C06B7B2D6CB48C110570697463680842B36666037961770842C9E75C
genesis.s, location, 8605776F726C6480FF0000000181046E616D652080056C6F6262790178093FF052AE9AC4D2D0017909405052EFEB9092CC017A09406B84D2934B73EF0570697463680842B36666037961770842C9E75C
genesis.w, location, 8605776F726C6480FF0000000181046E616D652080056C6F626279017809C06B5F5AA2CA765A017909405052EFEB9092CC017A093FC34A4D2DCFBA090570697463680842B36666037961770842C9E75C
genesis.world, world, 81046E616D652080056C6F626279
safe.active, boolean, 01
safe.e.x, double, 406199B7722B37D7
safe.e.y, double, 404D000000000000
safe.e.z, double, 3FDE7AC84D9F1D9F
safe.n.x, double, 3FE9B7722B37D779
safe.n.y, double, 4050000000000000
safe.n.z, double, C06170C29BD93071
safe.s.x, double, 3FE9B7722B37D779
safe.s.y, double, 4050000000000000
safe.s.z, double, 40618F3D6426CF8F
safe.w.x, double, C06166488DD4C829
safe.w.y, double, 4050000000000000
safe.w.z, double, 3FDE7AC84D9F1D9F
safe.world, world, 81046E616D652080056C6F626279

