# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.13.2

"collector::tycoon:-97.5,-9.5,58.5", offlineplayer, 810475756964800455554944820C6C6561737453696742697473049636F2085DDADE330B6D6F73745369674269747304E316E06A8B704D7E
"collector::tycoon:-97.5,-9.5,97.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-97.5,-9.5,98.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-96.5,-9.5,97.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-96.5,-9.5,98.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-86.5,66.5,29.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-58.5,-11.5,58.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-58.5,-9.5,-18.5", offlineplayer, 810475756964800455554944820C6C656173745369674269747304B16F48029FC0C6450B6D6F737453696742697473046E87467066E948DD
"collector::tycoon:-57.5,-11.5,20.5", offlineplayer, 810475756964800455554944820C6C6561737453696742697473049636F2085DDADE330B6D6F73745369674269747304E316E06A8B704D7E
"collector::tycoon:-19.5,-11.5,59.5", offlineplayer, 810475756964800455554944820C6C6561737453696742697473048C58BA64C0C932040B6D6F73745369674269747304C0B032948D244B2E
"collector_locs::tycoon:-58.5,-11.5,58.5", location, 8605776F726C6480FF0000000181046E616D652080067479636F6F6E017809C04D400000000000017909C027000000000000017A09404D40000000000005706974636808800000000379617708C3340000
"collector_locs::tycoon:-58.5,-9.5,-18.5", location, 8605776F726C6480FF0000000181046E616D652080067479636F6F6E017809C04D400000000000017909C023000000000000017A09C03280000000000005706974636808800000000379617708C3340000
"collector_locs::tycoon:-57.5,-11.5,20.5", location, 8605776F726C6480FF0000000181046E616D652080067479636F6F6E017809C04CC00000000000017909C027000000000000017A0940348000000000000570697463680880000000037961770800000000
"collector_locs::tycoon:-19.5,-11.5,59.5", location, 8605776F726C6480FF0000000181046E616D652080067479636F6F6E017809C033800000000000017909C027000000000000017A09404DC000000000000570697463680880000000037961770842B40000
genesis.active, boolean, 01
safe.active, boolean, 01
safe.e.x, double, 406199B7722B37D7
safe.e.y, double, 404D000000000000
safe.e.z, double, 3FDE7AC84D9F1D9F
safe.n.x, double, 3FE9B7722B37D779
safe.n.y, double, 4050000000000000
safe.n.z, double, C06170C29BD93071
safe.s.x, double, 3FE9B7722B37D779
safe.s.y, double, 4050000000000000
safe.s.z, double, 40618F3D6426CF8F
safe.w.x, double, C06166488DD4C829
safe.w.y, double, 4050000000000000
safe.w.z, double, 3FDE7AC84D9F1D9F
"tycoon_prices::amethyst shard", long, 0000000000004E20
tycoon_prices::andesite, long, 00000000000061A8
tycoon_prices::basalt, long, 000000000000EA60
tycoon_prices::beacon, long, 0000000000B71B00
tycoon_prices::bedrock, long, 00000000005B8D80
tycoon_prices::blackstone, long, 00000000000186A0
tycoon_prices::calcite, long, 0000000000002EE0
tycoon_prices::coal, long, 0000000000000014
"tycoon_prices::coal block", long, 00000000000000B4
"tycoon_prices::coarse dirt", long, 000000000000000A
"tycoon_prices::copper block", long, 00000000000002D0
"tycoon_prices::copper ingot", long, 0000000000000050
"tycoon_prices::crying obsidian", long, 0000000000001388
tycoon_prices::diamond, long, 00000000000005DC
"tycoon_prices::diamond block", long, 00000000000034BC
tycoon_prices::diorite, long, 0000000000004650
tycoon_prices::dirt, long, 0000000000000005
tycoon_prices::emerald, long, 0000000000000320
"tycoon_prices::emerald block", long, 0000000000001C20
"tycoon_prices::end stone", long, 0000000000061A80
"tycoon_prices::end stone bricks", long, 00000000000C3500
"tycoon_prices::gold block", long, 0000000000000438
"tycoon_prices::gold ingot", long, 0000000000000078
tycoon_prices::granite, long, 0000000000009C40
"tycoon_prices::iron block", long, 00000000000001C2
"tycoon_prices::iron ingot", long, 0000000000000032
"tycoon_prices::lapis block", long, 0000000000000FD2
"tycoon_prices::lapis lazuli", long, 00000000000001C2
"tycoon_prices::magma block", long, 00000000005B8D80
"tycoon_prices::magma cream", long, 00000000002DC6C0
"tycoon_prices::netherite ingot", long, 0000000000004E20
"tycoon_prices::netherite scrap", long, 0000000000001388
tycoon_prices::obsidian, long, 00000000000009C4
"tycoon_prices::polished andesite", long, 000000000000C350
"tycoon_prices::polished basalt", long, 000000000001D4C0
"tycoon_prices::polished blackstone", long, 0000000000030D40
"tycoon_prices::polished diorite", long, 0000000000008CA0
"tycoon_prices::polished granite", long, 0000000000013880
"tycoon_prices::polished tuff", long, 0000000000003E80
"tycoon_prices::prismarine crystals", long, 0000000000186A00
"tycoon_prices::prismarine shard", long, 00000000000C3500
"tycoon_prices::purpur block", long, 0000000000030D40
"tycoon_prices::purpur pillar", long, 0000000000061A80
tycoon_prices::redstone, long, 00000000000000C8
"tycoon_prices::redstone block", long, 0000000000000708
"tycoon_prices::soul lantern", long, 00000000002DC6C0
"tycoon_prices::soul soil", long, 000000000016E360
tycoon_prices::stone, long, 000000000000000A
"tycoon_prices::stone bricks", long, 0000000000000014
tycoon_prices::tuff, long, 0000000000001F40

